iter	Passed	Remaining
562	4855	3768
563	4866	3761
564	4875	3753
565	4883	3744
566	4891	3735
567	4900	3727
568	4908	3718
569	4917	3709
570	4926	3701
571	4936	3693
572	4946	3686
573	4954	3676
574	4961	3667
575	4968	3657
576	4978	3649
577	4985	3639
578	4993	3630
579	5000	3621
580	5009	3612
581	5017	3603
582	5026	3594
583	5033	3585
584	5040	3575
585	5049	3567
586	5057	3558
587	5067	3550
588	5077	3542
589	5087	3535
590	5097	3527
591	5104	3518
592	5113	3509
593	5124	3502
594	5133	3494
595	5143	3486
596	5156	3480
597	5168	3474
598	5176	3465
599	5186	3457
600	5194	3448
601	5203	3439
602	5213	3432
603	5221	3423
604	5230	3414
605	5240	3407
606	5250	3399
607	5259	3391
608	5267	3381
609	5275	3372
610	5284	3364
611	5295	3356
612	5303	3348
613	5312	3339
614	5321	3331
615	5329	3322
616	5338	3314
617	5347	3305
618	5355	3296
619	5364	3287
620	5372	3279
621	5382	3271
622	5391	3262
623	5401	3254
624	5408	3245
625	5418	3237
626	5427	3228
627	5438	3221
628	5446	3212
629	5455	3203
630	5466	3196
631	5475	3188
632	5484	3179
633	5492	3171
634	5501	3162
635	5510	3153
636	5518	3144
637	5525	3135
638	5533	3126
639	5543	3118
640	5551	3109
641	5559	3100
642	5569	3092
643	5576	3082
644	5585	3074
645	5594	3065
646	5603	3057
647	5613	3049
648	5621	3040
649	5630	3031
650	5638	3022
651	5646	3013
652	5654	3004
653	5664	2996
654	5673	2988
655	5681	2979
656	5690	2970
657	5699	2962
658	5707	2953
659	5715	2944
660	5724	2935
661	5732	2926
662	5739	2917
663	5749	2909
664	5756	2900
665	5765	2891
666	5773	2882
667	5781	2873
668	5790	2865
669	5798	2855
670	5805	2846
671	5814	2837
672	5822	2828
673	5831	2820
674	5840	2811
675	5849	2803
676	5858	2794
677	5867	2786
678	5875	2777
679	5883	2768
680	5892	2760
681	5901	2751
682	5910	2743
683	5918	2734
684	5927	2725
685	5934	2716
686	5942	2707
687	5949	2697
688	5956	2688
689	5963	2679
690	5971	2670
691	5979	2661
692	5986	2652
693	5994	2643
694	6002	2634
695	6011	2625
696	6020	2617
697	6026	2607
698	6033	2598
699	6040	2588
700	6048	2579
701	6056	2570
702	6065	2562
703	6072	2553
704	6081	2544
705	6089	2535
706	6096	2526
707	6104	2517
708	6112	2508
709	6120	2499
710	6128	2491
711	6136	2482
712	6146	2473
713	6154	2465
714	6162	2456
715	6171	2448
716	6180	2439
717	6188	2430
718	6197	2422
719	6206	2413
720	6215	2405
721	6225	2396
722	6234	2388
723	6243	2380
724	6252	2371
725	6265	2364
726	6283	2359
727	6298	2353
728	6314	2347
729	6330	2341
730	6345	2335
731	6362	2329
732	6374	2322
733	6387	2314
734	6397	2306
735	6408	2298
736	6418	2290
737	6431	2283
738	6444	2275
739	6455	2268
740	6469	2261
741	6481	2253
742	6494	2246
743	6506	2238
744	6519	2231
745	6531	2223
746	6541	2215
747	6554	2208
748	6567	2200
749	6579	2193
750	6589	2184
751	6599	2176
752	6611	2168
753	6623	2160
754	6635	2153
755	6648	2145
756	6662	2138
757	6675	2131
758	6690	2124
759	6700	2116
760	6713	2108
761	6726	2101
762	6737	2092
763	6747	2084
764	6758	2075
765	6768	2067
766	6779	2059
767	6793	2052
768	6801	2043
769	6811	2034
770	6822	2026
771	6833	2018
772	6845	2010
773	6855	2001
774	6864	1993
775	6874	1984
776	6884	1975
777	6895	1967
778	6910	1960
779	6922	1952
780	6937	1945
781	6945	1936
782	6955	1927
783	6968	1919
